reactions,metabolites,metabolitestotal,gpr,genes
PHETRS,phe__L_c,phe__L,TM0821 and TM0822,TM0822
PHETRS,trnaphe_c,trnaphe,TM0821 and TM0822,TM0821
PHETRS,trnaphe_c,trnaphe,TM0821 and TM0822,TM0822
RAFH,raffin_c,raffin,TM1414,TM1414
RBK_L1,rbl__L_c,rbl__L,TM0284,TM0284
TREabc,tre_e,tre,TM1839 and TM_1837 and TM1836,TM_1837
TREabc,tre_e,tre,TM1839 and TM_1837 and TM1836,TM1836
TREabc,tre_e,tre,TM1839 and TM_1837 and TM1836,TM1839
RBFSa,4r5au_c,4r5au,TM1827 and TM1825,TM1827
RBFSa,4r5au_c,4r5au,TM1827 and TM1825,TM1825
RBFSa,db4p_c,db4p,TM1827 and TM1825,TM1827
RBFSa,db4p_c,db4p,TM1827 and TM1825,TM1825
PLPS,g3p_c,g3p,TM0472 and TM0473,TM0473
PLPS,g3p_c,g3p,TM0472 and TM0473,TM0472
PLPS,gln__L_c,gln__L,TM0472 and TM0473,TM0473
PLPS,gln__L_c,gln__L,TM0472 and TM0473,TM0472
PLPS,r5p_c,r5p,TM0472 and TM0473,TM0473
PLPS,r5p_c,r5p,TM0472 and TM0473,TM0472
RIBabc,rib__D_e,rib__D,TM0956 and TM0958 and TM0955 and TM0959,TM0958
RIBabc,rib__D_e,rib__D,TM0956 and TM0958 and TM0955 and TM0959,TM0955
RIBabc,rib__D_e,rib__D,TM0956 and TM0958 and TM0955 and TM0959,TM0956
RIBabc,rib__D_e,rib__D,TM0956 and TM0958 and TM0955 and TM0959,TM0959
VALabc,val__L_e,val__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1138
VALabc,val__L_e,val__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1137
VALabc,val__L_e,val__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1136
VALabc,val__L_e,val__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1139
VALabc,val__L_e,val__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1135
POR,fdxo_42_c,fdxo_42,TM0015 and TM0016 and TM0017 and TM0018,TM0016
POR,fdxo_42_c,fdxo_42,TM0015 and TM0016 and TM0017 and TM0018,TM0017
POR,fdxo_42_c,fdxo_42,TM0015 and TM0016 and TM0017 and TM0018,TM0015
POR,fdxo_42_c,fdxo_42,TM0015 and TM0016 and TM0017 and TM0018,TM0018
